what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.hsqldb,1.0.0.200706071,org.eclipse.datatools.enablement.hsqldb,1355337218879
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.0.200706071,org.eclipse.datatools.enablement.sybase.asa,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.0.0.200706151,org.eclipse.datatools.sqltools.data.ui,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.0.0.200706121,org.eclipse.datatools.connectivity.sqm.server.ui,1355337218880
stopped,bundle,org.eclipse.emf.exporter,2.3.0.v200706262000,org.eclipse.emf.exporter,1355337218880
stopped,bundle,org.eclipse.emf.importer.ecore,2.3.0.v200706262000,org.eclipse.emf.importer.ecore,1355337218880
stopped,bundle,org.eclipse.emf.importer.java,2.3.0.v200706262000,org.eclipse.emf.importer.java,1355337218880
stopped,bundle,org.eclipse.emf.importer.rose,2.3.0.v200706262000,org.eclipse.emf.importer.rose,1355337218880
stopped,bundle,org.eclipse.emf.importer,2.3.0.v200706262000,org.eclipse.emf.importer,1355337218880
stopped,bundle,org.eclipse.emf.converter,2.3.0.v200706262000,org.eclipse.emf.converter,1355337218880
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.3.0.v200706262000,org.eclipse.emf.codegen.ecore.ui,1355337218880
stopped,bundle,org.eclipse.emf.ecore.editor,2.3.0.v200706262000,org.eclipse.emf.ecore.editor,1355337218880
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.3.0.v200706262000,org.eclipse.emf.mapping.ecore2xml.ui,1355337218880
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.3.0.v200706262000,org.eclipse.emf.mapping.ecore2ecore.editor,1355337218880
stopped,bundle,org.eclipse.emf.mapping.ui,2.3.0.v200706262000,org.eclipse.emf.mapping.ui,1355337218880
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1355337218880
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1355337218880
stopped,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.db.derby,1.0.0.200706071,org.eclipse.datatools.connectivity.db.derby,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.postgresql.profile,1.0.0.200706071,org.eclipse.datatools.enablement.postgresql.profile,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.0.200706071,org.eclipse.datatools.connectivity.db.generic.ui,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.derby,1.0.0.200706071,org.eclipse.datatools.connectivity.derby,1355337218880
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.200706071,org.eclipse.datatools.sqltools.tabledataeditor,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.0.0.200706151,org.eclipse.datatools.connectivity.sqm.core.ui,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver.profile,1.0.0.200706151,org.eclipse.datatools.enablement.msft.sqlserver.profile,1355337218880
