what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.mysql,1.0.0.200706071,org.eclipse.datatools.enablement.mysql,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.200706071,org.eclipse.datatools.enablement.sybase.asa.models,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.sybase,1.0.0.200706071,org.eclipse.datatools.enablement.sybase,1355337218880
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.200706181,org.eclipse.datatools.sqltools.plan,1355337218880
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.200706181,org.eclipse.datatools.sqltools.common.ui,1355337218880
stopped,bundle,org.eclipse.datatools.sqltools.data.core,1.0.0.200706151,org.eclipse.datatools.sqltools.data.core,1355337218880
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.200706111,org.eclipse.datatools.sqltools.sql,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core,1.0.0.200706071,org.eclipse.datatools.connectivity.sqm.core,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.db.generic,1.0.0.200706071,org.eclipse.datatools.connectivity.db.generic,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.0.4.200706191,org.eclipse.datatools.connectivity.oda.flatfile.ui,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.0.0.200706151,org.eclipse.datatools.enablement.oda.ws.ui,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.0.1.200706191,org.eclipse.datatools.enablement.oda.xml.ui,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.0.4.200706071,org.eclipse.datatools.connectivity.oda.design.ui,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.0.0.200706181,org.eclipse.datatools.connectivity.ui.dse,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.luw.profile,1.0.0.200706071,org.eclipse.datatools.enablement.ibm.db2.luw.profile,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.mysql.profile,1.0.0.200706071,org.eclipse.datatools.enablement.mysql.profile,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.oracle.profile,1.0.0.200706151,org.eclipse.datatools.enablement.oracle.profile,1355337218880
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.profile,1.0.0.200706071,org.eclipse.datatools.enablement.sybase.ase.profile,1355337218880
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.0.0.200706211,org.eclipse.datatools.connectivity.ui,1355337218880
stopped,bundle,org.eclipse.datatools.modelbase.derby,1.0.0.200706071,org.eclipse.datatools.modelbase.derby,1355337218880
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.200706181,org.eclipse.datatools.sqltools.result,1355337218881
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1355337218881
stopped,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1355337218897
stopped,bundle,org.eclipse.emf.codegen.ui,2.3.0.v200706262000,org.eclipse.emf.codegen.ui,1355337218897
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1355337218897
